sentiment,review_body,product_category
-1,Really wanted to like this and took chances based on other reviews  even with the sale price and addtl discount. it's basically $30 blouse fabric with design and detail-work of a much more expensive blouse. the white is sheer and and fabric will wrinkle easily. if it were black  you could probably get away with it  but the white shows too many flaws and will wrinkle. sad to have to send it back.,Blouses
-1,Was going to order this top in orange but could not decide what size. i am either a large or xl. i found that the top was in stock in a local retailer in white and went to try it for size. first  the top is huge. i tried the large on and it fit me across the bust and shoulders nicely. the rest of the top was like a large tent. the white is an off white and really is not attractive looking. in fact  in the store  it was displayed with a jacket over it. online  the orange looks completely different ,Blouses
-1,"I wanted to love this top  but when i received the picture on the website is a dark charcoal almost black and the ""grey"" that you order is much  much lighter grey. in addition  this shirt is super boxy... thus why the model probably is pinning her elbows to her side to bring the top in. going back disappointed.",Blouses
-1,The print is very pretty but the fabric is stiff and it runs way too big.  looks great on the model but awful on me.,Blouses
-1,I couldn't wait to get this top in the mail since they didn't have it at my local retailer  but i was so disappointed in both the quality and fit. the white is completely see-thru  i can't believe how sheer the material is - especially for the price. even as the shirt is lying down  i can see through both layers of it... the fit runs small  and short.,Blouses
-1,One of the worst shirts i've tried in a long time. i don't know how they managed to give it a little shape on the model. in person it is sleeveless  huge  short and wide.,Blouses
-1,I loved fabric  print and back detail. design  however  was a little too boxy to be flattering on me. even at great price i sent it back.,Blouses
-1,This top is tight across the bust (i am a 32dd cup) and more trapeze-shaped than the picture shows. if you are smaller busted  it may not flare out as much. also- the sz 10 is what was tight - and i usually wear a sz. 4 or 6  or small-size top/blouse. in the end  this wasn't very flattering as it looked more like a maternity top.,Blouses
-1,"This top was just not flattering. i'm 5'8"" and medium build  and the m was very bulky and the fabric didn't fall in the right places. made me look very round and i'm not  so it's definitely going back!",Blouses
0,This top was quite voluminous when i purchased it and i sized down to an xs  however after hand washing it once in cold water it has shrunk significantly. it still fits  but something to be aware of.,Blouses
0,This top is beautiful to look at but did not fit me like the model. it was tight across the bust but very poofy at the bottom  which normally i like  but not this time. sad.,Blouses
0,This top is beautiful but beware there is a lot of extra material on the sides. it was not flattering on only because of all the excess fabric. clearly the model in the picture has it pinned behind her. it would be a keeper if it was cut closer to the body but sadly it's going back.,Blouses
0,Ordered this top online and wanted to love it but the fit was very off. i love the drape in the front  but it did not hit in the right place. the fabric was soft  but not as high end looking as i was expecting. i love flannel tops and wanted a more formal look  but sadly this is going back.,Blouses
0,"This top is super cute  however the bottom hem is all frayed....couldn't really tell that from the pictures. the ""flutter"" sleeves are too big...looks funny with the fraying...runs a little large as well. loved the color! perfect with white denim!",Blouses
0,This top is much stiffer  more baby-doll and boxier than pictured. lining is stiff too  and colors more muddy than shown. i wear boho tops all the time and this looked terrible on me (i have broad-ish shoulders and a chest). i thought it would be a fun  drapey top for transition to fall but unfortunately it's going back.,Blouses
